Year,Week number,Sum of UNITS,Sum of Field_sourceCol_F_value_A2,Count of VEND,Sum of DOLLARS,Count of ITEM,Sum of Field_sourceCol_D_value_2,Sum of Field_sourceCol_D_value_1,Sum of Field_sourceCol_D_value_0,Sum of Field_sourceCol_F_value_A+,Sum of Field_sourceCol_F_value_C,Sum of Field_sourceCol_F_value_B,Sum of Field_sourceCol_F_value_A,Sum of Field_sourceCol_F_value_NONE,Sum of PR
2011,25,483,0,415,5346.11,415,2,5,408,0,0,1,0,414,12
2011,26,439,12,390,4679.52,390,6,44,340,0,5,9,12,364,22
2011,27,630.0799999,23,595,7511.769597,595,3,64,528,0,15,11,23,546,32
2011,28,477.2399998,13,436,5560.625195,436,0,46,390,0,3,2,13,418,20
2011,29,386,6,346,4486.15,346,0,27,319,0,7,2,6,331,13
2011,30,370,4,337,4121.34,337,0,38,299,0,1,5,4,327,17
2011,31,352,5,325,3921.19,325,0,12,313,0,3,0,5,317,9
2011,32,369.4799995,3,327,4140.571589,327,1,20,306,0,0,1,3,323,12
2011,33,392,12,357,4455.54,357,1,45,311,0,1,4,12,340,19
2011,34,415,6,391,4621.74,391,0,27,364,0,1,0,6,384,12
2011,35,384,15,352,4369.53,352,2,35,315,0,0,1,15,336,13
2011,36,552,18,516,7099.19,516,0,42,474,0,0,23,18,475,22
2011,37,387,18,337,4217.2,337,1,28,308,0,0,3,18,316,15
2011,38,286.0799999,10,258,3229.501597,258,0,18,240,0,0,0,10,248,10
2011,39,300,22,275,3408.84,275,0,23,252,0,0,0,22,253,16
2011,40,312,8,289,3550.62,289,0,28,261,0,0,0,8,281,11
2011,41,356,1,317,4097.51,317,0,20,297,0,0,1,1,315,7
2011,42,317,12,294,3624,294,0,29,265,0,0,4,12,278,20
2011,43,299,9,264,3460.55,264,0,24,240,0,0,3,9,252,19
2011,44,348,20,317,4002.69,317,0,27,290,0,0,0,20,297,23
2011,45,256,2,227,2713.13,227,0,18,209,0,0,1,2,224,10
2011,46,280,3,259,3329.54,259,0,15,244,0,0,3,3,253,14
2011,47,382,15,338,4716.66,338,0,12,326,0,0,18,15,305,19
2011,48,420,0,384,4870.82,384,0,6,378,0,0,0,0,384,7
2011,49,252,0,229,2804.45,229,0,1,228,0,0,0,0,229,7
2011,50,263,6,245,3202.05,245,0,20,225,6,0,4,6,229,13
2011,51,331,22,304,3855.9,304,0,29,275,2,0,6,22,274,15
2011,52,599,19,544,7070.83,544,0,4,540,0,0,0,19,525,15
